,estado_abrev,id_municipio,ano,numero_obitos
0,AP,1600000,1996,3
1,AP,1600055,1996,3
2,AP,1600105,1996,12
3,AP,1600154,1996,3
4,AP,1600204,1996,5
5,AP,1600212,1996,2
6,AP,1600238,1996,9
7,AP,1600279,1996,6
8,AP,1600303,1996,1190
9,AP,1600402,1996,17
10,AP,1600501,1996,8
11,AP,1600535,1996,16
12,AP,1600550,1996,1
13,AP,1600600,1996,316
14,AP,1600709,1996,2
15,AC,1200000,1996,4
16,AC,1200013,1996,9
17,AC,1200054,1996,8
18,AC,1200104,1996,46
19,AC,1200138,1996,3
20,AC,1200179,1996,2
21,AC,1200203,1996,305
22,AC,1200252,1996,27
23,AC,1200302,1996,83
24,AC,1200328,1996,1
25,AC,1200336,1996,16
26,AC,1200344,1996,8
27,AC,1200351,1996,4
28,AC,1200385,1996,41
29,AC,1200393,1996,4
30,AC,1200401,1996,1461
31,AC,1200427,1996,4
32,AC,1200450,1996,37
33,AC,1200500,1996,95
34,AC,1200609,1996,50
35,AC,1200708,1996,47
36,AC,1200807,1996,8
37,CE,2300000,1996,390
38,CE,2300101,1996,14
39,CE,2300150,1996,44
40,CE,2300200,1996,207
41,CE,2300309,1996,237
42,CE,2300408,1996,23
43,CE,2300507,1996,25
44,CE,2300606,1996,17
45,CE,2300705,1996,48
46,CE,2300754,1996,93
47,CE,2300804,1996,34
48,CE,2300903,1996,40
49,CE,2301000,1996,89
50,CE,2301109,1996,291
51,CE,2301208,1996,28
52,CE,2301257,1996,20
53,CE,2301307,1996,21
54,CE,2301406,1996,4
55,CE,2301505,1996,22
56,CE,2301604,1996,41
57,CE,2301703,1996,73
58,CE,2301802,1996,37
59,CE,2301851,1996,79
60,CE,2301901,1996,194
61,CE,2301950,1996,16
62,CE,2302008,1996,51
63,CE,2302057,1996,46
64,CE,2302107,1996,128
65,CE,2302206,1996,40
66,CE,2302305,1996,85
67,CE,2302404,1996,77
68,CE,2302503,1996,110
69,CE,2302602,1996,64
70,CE,2302701,1996,133
71,CE,2302800,1996,238
72,CE,2302909,1996,28
73,CE,2303006,1996,10
74,CE,2303105,1996,53
75,CE,2303204,1996,46
76,CE,2303303,1996,39
77,CE,2303402,1996,81
78,CE,2303501,1996,174
79,CE,2303600,1996,32
80,CE,2303659,1996,38
81,CE,2303709,1996,655
82,CE,2303808,1996,158
83,CE,2303907,1996,59
84,CE,2303931,1996,18
85,CE,2303956,1996,70
86,CE,2304004,1996,86
87,CE,2304103,1996,180
88,CE,2304202,1996,341
89,CE,2304236,1996,102
90,CE,2304251,1996,32
91,CE,2304269,1996,21
92,CE,2304277,1996,24
93,CE,2304285,1996,31
94,CE,2304301,1996,43
95,CE,2304350,1996,81
96,CE,2304400,1996,11294
97,CE,2304459,1996,42
98,CE,2304509,1996,31
99,CE,2304608,1996,6
100,CE,2304657,1996,16
101,CE,2304707,1996,36
102,CE,2304806,1996,12
103,CE,2304905,1996,28
104,CE,2304954,1996,22
105,CE,2305001,1996,142
106,CE,2305100,1996,18
107,CE,2305209,1996,17
108,CE,2305233,1996,116
109,CE,2305266,1996,31
